TransportType    LoadFactor                  WorkLoad                  MsgSizeRange  SizeCntPercent  BytesPercent   UnschedBytes   MeanStretch   MedianStretch 99PercentStretch
    Homa             0.5                 FACEBOOK_KEY_VALUE                 568          1.37295        3.06924          9328      1.21734185953        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 568          1.37295        3.06924          9328            NA       1.12733211695        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 568          1.37295        3.06924          9328            NA             NA       1.95170998186 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 635          1.24285        3.05606          9328      1.21351753753        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 635          1.24285        3.05606          9328            NA       1.12383183301        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 635          1.24285        3.05606          9328            NA             NA       1.94773356366 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 710          1.11394        3.01734          9328      1.20924018588        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 710          1.11394        3.01734          9328            NA       1.11757934655        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 710          1.11394        3.01734          9328            NA             NA       1.94064901924 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 794          0.98786        2.95209          9328      1.21308445536        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 794          0.98786        2.95209          9328            NA       1.11584873911        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 794          0.98786        2.95209          9328            NA             NA       1.99999004855 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 887          0.85544        2.82276          9328      1.22429799724        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 887          0.85544        2.82276          9328            NA       1.11580527735        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 887          0.85544        2.82276          9328            NA             NA       2.09151157319 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 992          0.74786        2.72807          9328      1.21789771672        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 992          0.74786        2.72807          9328            NA       1.11067558134        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 992          0.74786        2.72807          9328            NA             NA       2.07424871013 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1109         0.63636        2.56977          9328      1.21117875989        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1109         0.63636        2.56977          9328            NA       1.10627951388        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1109         0.63636        2.56977          9328            NA             NA        2.058761511  
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1240         0.53923        2.41267          9328      1.20451009093        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1240         0.53923        2.41267          9328            NA        1.0989459322        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1240         0.53923        2.41267          9328            NA             NA       2.04482297947 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1386         0.44883        2.22681          9328      1.22909131435        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1386         0.44883        2.22681          9328            NA       1.08997855155        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1386         0.44883        2.22681          9328            NA             NA       2.37266544512 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1550         0.37317        2.13360          9328      1.23246942611        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1550         0.37317        2.13360          9328            NA       1.09240286755        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1550         0.37317        2.13360          9328            NA             NA       2.43593764797 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1733         0.30518        1.96999          9328      1.24862085281        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1733         0.30518        1.96999          9328            NA        1.1113800946        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1733         0.30518        1.96999          9328            NA             NA       2.44571268071 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1937         0.24682        1.76119          9328      1.28586076468        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1937         0.24682        1.76119          9328            NA       1.15550478862        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 1937         0.24682        1.76119          9328            NA             NA       2.47999709378 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2166         0.19967        1.57675          9328      1.32148580551        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2166         0.19967        1.57675          9328            NA       1.20039676799        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2166         0.19967        1.57675          9328            NA             NA       2.50745836855 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2421         0.15865        1.38771          9328      1.36212666719        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2421         0.15865        1.38771          9328            NA       1.24366429872        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2421         0.15865        1.38771          9328            NA             NA       2.55724945239 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2707         0.12588        1.22082          9328      1.38925076549        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2707         0.12588        1.22082          9328            NA       1.27524771871        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 2707         0.12588        1.22082          9328            NA             NA       2.59044063186 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3027         0.09868        1.07565          9328      1.46037692315        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3027         0.09868        1.07565          9328            NA       1.32938724442        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3027         0.09868        1.07565          9328            NA             NA       2.80841454221 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3384         0.07709        0.94761          9328      1.49380284103        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3384         0.07709        0.94761          9328            NA       1.36361012859        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3384         0.07709        0.94761          9328            NA             NA        2.830666842  
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3783         0.05965        0.81246          9328      1.53305826927        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3783         0.05965        0.81246          9328            NA       1.40895412256        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 3783         0.05965        0.81246          9328            NA             NA       2.87137154055 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 4229         0.04592        0.69354          9328      1.57059450612        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 4229         0.04592        0.69354          9328            NA       1.45131164812        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 4229         0.04592        0.69354          9328            NA             NA       2.91137773004 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 4729         0.03528        0.60089          9328      1.63328357354        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 4729         0.03528        0.60089          9328            NA        1.5070120881        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 4729         0.03528        0.60089          9328            NA             NA        3.0418205324 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 5286         0.02685        0.50931          9328      1.66491782844        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 5286         0.02685        0.50931          9328            NA       1.54410676836        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 5286         0.02685        0.50931          9328            NA             NA       3.06155305224 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 5910         0.02037        0.42997          9328       1.7086270371        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 5910         0.02037        0.42997          9328            NA       1.59081266119        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 5910         0.02037        0.42997          9328            NA             NA        3.0833269482 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 6608         0.01538        0.36455          9328      1.75314433952        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 6608         0.01538        0.36455          9328            NA       1.63714499085        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 6608         0.01538        0.36455          9328            NA             NA       3.16673803828 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 7388         0.01158        0.30527          9328      1.79091043576        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 7388         0.01158        0.30527          9328            NA       1.67805541077        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 7388         0.01158        0.30527          9328            NA             NA       3.16916657967 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 8259         0.00868        0.25623          9328      1.83268784201        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 8259         0.00868        0.25623          9328            NA       1.72231283808        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 8259         0.00868        0.25623          9328            NA             NA       3.23823900286 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 9234         0.00651        0.21483          9328      1.86850988533        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 9234         0.00651        0.21483          9328            NA       1.76223569651        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 9234         0.00651        0.21483          9328            NA             NA       3.25498231476 
    Homa             0.5                 FACEBOOK_KEY_VALUE                10324         0.00489        0.18097          9328      1.91421502309        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                10324         0.00489        0.18097          9328            NA       1.81349029955        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                10324         0.00489        0.18097          9328            NA             NA       3.22855166771 
    Homa             0.5                 FACEBOOK_KEY_VALUE                11542         0.00358        0.14755          9328      1.94106537076        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                11542         0.00358        0.14755          9328            NA       1.84298113181        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                11542         0.00358        0.14755          9328            NA             NA       3.26515086597 
    Homa             0.5                 FACEBOOK_KEY_VALUE                12904         0.00267        0.12279          9328      1.96832192051        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                12904         0.00267        0.12279          9328            NA       1.87290963041        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                12904         0.00267        0.12279          9328            NA             NA        3.2080936835 
    Homa             0.5                 FACEBOOK_KEY_VALUE                16129         0.00342        0.18438          9328       2.0044640097        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                16129         0.00342        0.18438          9328            NA       1.91183043403        NA      
